id,primary_sponsor,supporter_count,opposer_count,title
2952375,H.R. 5376: Build Back Better Act,6,13,Rep. Don Young (R-AK-1)
2900994,H.R. 3684: Infrastructure Investment and Jobs Act,13,6,Rep. Rashida Tlaib (D-MI-13)
